en	te
house	ఇల్లు
Nobody complained.	ఎవరూ ఫిర్యాదు చేయలేదు.
Don't you watch movies?	మీరు సినిమాలు చూడలేదా?
Give a thief enough rope and he'll hang himself.	ఒక దొంగకు తగినంత తాడు ఇవ్వండి మరియు అతను ఉరి వేసుకుంటాడు.
He didn't get caught.	అతను చిక్కుకోలేదు.
Tom's handwriting is unreadable.	టామ్ చేతివ్రాత చదవలేనిది.
I let him get the credit.	నేను అతనిని క్రెడిట్ పొందటానికి అనుమతించాను.
Tom was smart enough to escape.	టామ్ తప్పించుకునేంత తెలివైనవాడు.
What's the worst thing that could happen?	జరిగే చెత్త విషయం ఏమిటి?
Tom's sister paved the way for him to become a lawyer.	టామ్ సోదరి అతనికి న్యాయవాదిగా మారడానికి మార్గం సుగమం చేసింది.
The Normans conquered England in 1066.	నార్మన్లు 1066 లో ఇంగ్లాండ్‌ను జయించారు.
Tom asked me how many countries I'd visited.	నేను ఎన్ని దేశాలను సందర్శించాను అని టామ్ నన్ను అడిగాడు.
I'll go if you will.	మీరు కోరుకుంటే నేను వెళ్తాను.
Tom will always remember Mary.	టామ్ ఎల్లప్పుడూ మేరీని గుర్తుంచుకుంటాడు.
Tom didn't want to admit he was scared.	టామ్ తాను భయపడ్డానని ఒప్పుకోవటానికి ఇష్టపడలేదు.
Tom wants to say hello.	టామ్ హలో చెప్పాలనుకుంటున్నాడు.
S. P. B sang over 40,000 songs in various languages and was one of the most versatile and popular singers of his time.	S. P. B వివిధ భాషలలో 40,000 పాటలు పాడారు మరియు అతని కాలంలోని అత్యంత బహుముఖ మరియు ప్రసిద్ధ గాయకులలో ఒకరు.
I did what Tom asked me to do.	టామ్ నన్ను అడిగినట్లు నేను చేసాను.
Tom is still an amateur.	టామ్ ఇప్పటికీ te త్సాహిక వ్యక్తి.
The damage was covered by insurance.	నష్టం భీమా పరిధిలోకి వచ్చింది.
I used to cry a lot.	నేను చాలా ఏడుస్తాను.
What's your son's name?	మీ కొడుకు పేరు ఏమిటి?
Did you really dream about me?	మీరు నిజంగా నా గురించి కలలు కన్నారా?
Tom got in his car and left.	టామ్ తన కారులో దిగి వెళ్ళిపోయాడు.
The only spice Tom puts on meat is pepper.	టామ్ మాంసం మీద ఉంచే మసాలా మిరియాలు మాత్రమే.
Tom was stupid enough to challenge Mary to a game of chess.	టామ్ తెలివితక్కువవాడు, చెస్ ఆటకు మేరీని సవాలు చేసేవాడు.
What makes you think that I'm against that?	నేను దీనికి వ్యతిరేకం అని మీరు ఏమనుకుంటున్నారు?
President Monroe was a slave-owner.	అధ్యక్షుడు మన్రో బానిస యజమాని.
I'll miss everyone.	నేను అందరినీ కోల్పోతాను.
He's a weird guy.	అతను విచిత్రమైన వ్యక్తి.
Tom's paralyzed.	టామ్ స్తంభించిపోయాడు.
Which umbrella is yours?	ఏ గొడుగు మీది?
She is learning how to drive a car.	ఆమె కారు నడపడం నేర్చుకుంటుంది.
It may rain tomorrow.	రేపు వర్షం పడవచ్చు.
What would you like to buy your mother for her birthday?	మీ తల్లి పుట్టినరోజు కోసం మీరు ఏమి కొనాలనుకుంటున్నారు?
Why did that have to happen to us?	అది మనకు ఎందుకు జరగాలి?
Tom is still learning the rules.	టామ్ ఇప్పటికీ నియమాలను నేర్చుకుంటున్నాడు.
I haven't accomplished anything yet.	నేను ఇంకా ఏమీ సాధించలేదు.
Tom refused to help Mary.	టామ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.
I have to take my medicine every six hours.	ప్రతి ఆరు గంటలకు నా medicine షధం తీసుకోవాలి.
I had a good time.	నాకు మంచి సమయం వచ్చింది.
I wonder if Tom would really do something like that.	టామ్ నిజంగా అలాంటిదే చేస్తాడా అని నేను ఆశ్చర్యపోతున్నాను.
There's the bell.	గంట ఉంది.
I don't want to break your heart.	నేను మీ హృదయాన్ని విచ్ఛిన్నం చేయాలనుకోవడం లేదు.
They are bound together by common interests.	వారు సాధారణ ప్రయోజనాలతో కట్టుబడి ఉంటారు.
Tom put the map on the table.	టామ్ మ్యాప్‌ను టేబుల్‌పై ఉంచాడు.
We kept together for safety.	మేము భద్రత కోసం కలిసి ఉంచాము.
I've read somewhere that it's not true.	ఇది నిజం కాదని నేను ఎక్కడో చదివాను.
Tom heard everything they said.	టామ్ వారు చెప్పినవన్నీ విన్నారు.
Tom's death was mysterious.	టామ్ మరణం మర్మమైనది.
The rice crop is poor this year.	ఈ సంవత్సరం వరి పంట పేలవంగా ఉంది.
I've been expecting your call.	నేను మీ కాల్‌ను ఆశిస్తున్నాను.
It was eighty meters long.	ఇది ఎనభై మీటర్ల పొడవు.
Was Tom the one who told you to do that?	టామ్ మీకు అలా చేయమని చెప్పాడా?
Tom loved the song even though the lyrics were in a language he didn't understand.	సాహిత్యం తనకు అర్థం కాని భాషలో ఉన్నప్పటికీ టామ్ ఈ పాటను ఇష్టపడ్డాడు.
Tom was the only one not sitting.	టామ్ మాత్రమే కూర్చోలేదు.
You shouldn't trust anything Tom says.	టామ్ చెప్పిన దేన్నీ మీరు నమ్మకూడదు.
How many people know about this?	దీని గురించి ఎంత మందికి తెలుసు?
The worst is behind us.	చెత్త మన వెనుక ఉంది.
ram kills ravana.	రాముడు రావణుడిని చంపాడు.
Rajinikanth is a popular Indian actor who has worked in Tamil, Telugu, Hindi, Kannada, and other Indian languages films.	రజనీకాంత్ తమిళం, తెలుగు, హిందీ, కన్నడ మరియు ఇతర భారతీయ భాషల చిత్రాలలో పనిచేసిన ప్రముఖ భారతీయ నటుడు.
I closed the door.	నేను తలుపు మూసాను.
I have nothing to do this afternoon.	ఈ మధ్యాహ్నం నాకు ఏమీ లేదు.
I want you to have a copy of this.	దీని కాపీని మీరు కలిగి ఉండాలని నేను కోరుకుంటున్నాను.
I hate this game.	నేను ఈ ఆటను ద్వేషిస్తున్నాను.
Is it OK if I eat one of these apples?	నేను ఈ ఆపిల్ల ఒకటి తింటే సరేనా?
Let's talk about your work.	మీ పని గురించి మాట్లాడుకుందాం.
The air conditioner doesn't work.	ఎయిర్ కండీషనర్ పనిచేయదు.
I like your apartment.	నేను మీ అపార్ట్మెంట్ను ఇష్టపడుతున్నాను.
Can you please tell me where the restaurant is?	దయచేసి రెస్టారెంట్ ఎక్కడ ఉందో చెప్పగలరా?
You've never had a boyfriend, have you?	మీకు ఎప్పుడూ బాయ్‌ఫ్రెండ్ లేరు, లేదా?
You saw them, didn't you?	మీరు వాటిని చూశారు, లేదా?
We drank a lot of coffee.	మేము చాలా కాఫీ తాగాము.
My parents won't let me date.	నా తల్లిదండ్రులు నన్ను డేటింగ్ చేయనివ్వరు.
I am not a foodie.	నేను భోజనప్రియుడిని కాదు.
I don't remember mailing the letter.	నాకు లేఖ మెయిల్ చేయడం గుర్తులేదు.
Tom showed Mary the scar on his leg.	టామ్ మేరీకి తన కాలు మీద ఉన్న మచ్చను చూపించాడు.
I feel very guilty.	నేను చాలా అపరాధభావంతో ఉన్నాను.
Tom and Mary understood each other.	టామ్ మరియు మేరీ ఒకరినొకరు అర్థం చేసుకున్నారు.
I got up at 8 o'clock today.	నేను ఈ రోజు 8 గంటలకు లేచాను.
Does that window open?	ఆ విండో తెరుచుకుంటుందా?
I know that Tom was first.	టామ్ మొదటివాడు అని నాకు తెలుసు.
Please keep this a secret.	దయచేసి దీన్ని రహస్యంగా ఉంచండి.
Tom says his left leg hurts.	తన ఎడమ కాలు బాధిస్తుందని టామ్ చెప్పాడు.
My father says he's planning to buy me a horse.	నా తండ్రి నాకు గుర్రాన్ని కొనాలని యోచిస్తున్నట్లు చెప్పారు.
Didn't you know that Tom was planning to go to Australia?	టామ్ ఆస్ట్రేలియా వెళ్ళాలని యోచిస్తున్నాడని మీకు తెలియదా?
Free books available	ఉచిత పుస్తకాలు అందుబాటులో ఉన్నాయి
King loves forestation.	రాజుకు అడవులు అంటే చాలా ఇష్టం
Don't you feel cold?	మీకు చలి అనిపించలేదా?
Tom and Mary are planning to get a divorce.	టామ్ మరియు మేరీ విడాకులు తీసుకోవాలని యోచిస్తున్నారు.
They are going to send up a rocket.	వారు రాకెట్ పంపబోతున్నారు.
Tom has written down a list of things we need to do.	టామ్ మనం చేయవలసిన పనుల జాబితాను వ్రాశాడు.
It caught my eye.	ఇది నా దృష్టిని ఆకర్షించింది.
Tom says Mary wasn't at the meeting.	ఈ సమావేశంలో మేరీ లేడని టామ్ చెప్పారు.
When are we going to use it?	మేము దానిని ఎప్పుడు ఉపయోగించబోతున్నాం?
This street used to have another name.	ఈ వీధికి మరొక పేరు ఉండేది.
I want you to put out that cigarette.	మీరు ఆ సిగరెట్ బయట పెట్టాలని నేను కోరుకుంటున్నాను.
I didn't know you were going to be there.	మీరు అక్కడ ఉండబోతున్నారని నాకు తెలియదు.
Tom is probably still hiding.	టామ్ బహుశా ఇప్పటికీ దాక్కున్నాడు.
Let's not fool ourselves.	మనల్ని మనం మోసం చేసుకోనివ్వండి.
Tom died in his seventies.	టామ్ తన డెబ్బైలలో మరణించాడు.
The party finished at nine.	పార్టీ తొమ్మిదికి ముగిసింది.
Tom has never driven a car before.	టామ్ ఇంతకు ముందెన్నడూ కారు నడపలేదు.
Tom can't afford to buy a yacht.	టామ్ ఒక పడవ కొనడానికి భరించలేడు.
Why pay when you can get it for free?	మీరు ఉచితంగా పొందగలిగినప్పుడు ఎందుకు చెల్లించాలి?
Several ships are stuck in sea ice in Antarctica.	అంటార్కిటికాలో అనేక నౌకలు సముద్రపు మంచులో చిక్కుకున్నాయి.
We're a little early.	మేము కొంచెం ముందుగానే ఉన్నాము.
That man is dead.	ఆ మనిషి చనిపోయాడు.
Tom is between jobs.	టామ్ ఉద్యోగాల మధ్య ఉన్నాడు.
Tom didn't need to explain it to me.	టామ్ దానిని నాకు వివరించాల్సిన అవసరం లేదు.
The group was made up of four young men.	ఈ బృందంలో నలుగురు యువకులు ఉన్నారు.
How many times a year do you go skiing?	సంవత్సరానికి ఎన్నిసార్లు మీరు స్కీయింగ్‌కు వెళతారు?
Tom and Mary left alone.	టామ్ మరియు మేరీ ఒంటరిగా ఉన్నారు.
I don't care what people think.	ప్రజలు ఏమనుకుంటున్నారో నేను పట్టించుకోను.
Whales feed on small fish.	తిమింగలాలు చిన్న చేపలను తింటాయి.
I helped.	నేను సహాయం చేసాను.
I'll call back soon.	నేను త్వరలో తిరిగి పిలుస్తాను.
It's always darkest before the dawn.	తెల్లవారేముందు ఎప్పుడూ చీకటిగానే ఉంటుంది.
Tom can't even write his own name yet.	టామ్ ఇంకా తన పేరును కూడా వ్రాయలేడు.
Why can't Tom leave?	టామ్ ఎందుకు వెళ్ళలేడు?
Tom was one of my better students.	టామ్ నా మంచి విద్యార్థులలో ఒకడు.
She drives an imported car.	ఆమె దిగుమతి చేసుకున్న కారును నడుపుతుంది.
Tom wanted me to do that for him.	టామ్ నేను అతని కోసం అలా చేయాలనుకున్నాను.
I won't let anybody hurt you.	మిమ్మల్ని ఎవరూ బాధపెట్టనివ్వను.
It is a prime residential area that is known for its upscale homes, restaurants, and shopping centers.	ఇది ఉన్నత స్థాయి గృహాలు, రెస్టారెంట్లు మరియు షాపింగ్ కేంద్రాలకు ప్రసిద్ధి చెందిన ప్రధాన నివాస ప్రాంతం.
You've probably forgotten about it already.	మీరు ఇప్పటికే దాని గురించి మరచిపోయారు.
I know you can't wait.	మీరు వేచి ఉండలేరని నాకు తెలుసు.
Tom put on his black suit and white tie.	టామ్ తన బ్లాక్ సూట్ మరియు వైట్ టై ధరించాడు.
What is the best concert you've ever been to?	మీరు ఇప్పటివరకు చేసిన ఉత్తమ కచేరీ ఏమిటి?
I had to drop out of college and get a job.	నేను కాలేజీ నుండి తప్పుకొని ఉద్యోగం పొందవలసి వచ్చింది.
Tom is seldom home.	టామ్ చాలా అరుదుగా ఇంట్లోనే ఉంటాడు.
Is that enough?	అది సరిపోతుందా?
Tom looked both ways before crossing the road.	టామ్ రోడ్డు దాటడానికి ముందు రెండు మార్గాలు చూశాడు.
Would you like a glass of water?	మీరు ఒక గ్లాసు నీరు కావాలనుకుంటున్నారా?
The poor girl went blind.	పేద అమ్మాయి అంధురాలైంది.
Telugu is known as italian of the east.	తెలుగును ఇటాలియన్ ఆఫ్ ది ఈస్ట్ అని పిలుస్తారు.
Sold	విక్రయించబడింది
Are you still interested in working for us?	మా కోసం పనిచేయడానికి మీకు ఇంకా ఆసక్తి ఉందా?
It's there now.	ఇది ఇప్పుడు ఉంది.
Whether you believe it or not, I want to get this thing over with as much as you do.	మీరు నమ్మినా, చేయకపోయినా, నేను మీరు చేసినంత మాత్రాన ఈ విషయాన్ని పొందాలనుకుంటున్నాను.
Could you tell me where Tom is?	టామ్ ఎక్కడ ఉన్నారో మీరు నాకు చెప్పగలరా?
Tom thinks we're dead.	మేము చనిపోయామని టామ్ భావిస్తాడు.
Where were you yesterday?	నిన్న నువ్వు ఎక్కడ ఉన్నావు?
We were eating apples.	మేము ఆపిల్ల తింటున్నాము.
Tom said you were busy.	టామ్ మీరు బిజీగా ఉన్నారని చెప్పారు.
Tom shouted at us in a gruff voice.	టామ్ చిరాకు గొంతులో మా వైపు అరిచాడు.
I value my privacy.	నా గోప్యతకు నేను విలువ ఇస్తున్నాను.
All of the men were dressed similarly to Tom.	పురుషులందరూ టామ్ మాదిరిగానే దుస్తులు ధరించారు.
plants	మొక్కలు
Her predictions have come true.	ఆమె అంచనాలు నిజమయ్యాయి.
Turn it off.	దాన్ని ఆపివేయండి.
I'll see what else needs to be done.	ఇంకా ఏమి చేయాలో నేను చూస్తాను.
They traveled together.	వారు కలిసి ప్రయాణించారు.
Tom wasn't working for me.	టామ్ నా కోసం పని చేయలేదు.
Tom wanted me to help him.	టామ్ నేను అతనికి సహాయం చేయాలనుకున్నాను.
This will take some time.	దీనికి కొంత సమయం పడుతుంది.
Tom wasn't smiling when he entered the room.	గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.
girl	అమ్మాయి
I didn't know Tom was at home.	టామ్ ఇంట్లో ఉన్నట్లు నాకు తెలియదు.
Are you good at remembering faces?	మీరు ముఖాలను గుర్తుంచుకోవడంలో మంచివా?
Tom hit the ball so hard he split the bat.	టామ్ బంతిని గట్టిగా కొట్టాడు, అతను బ్యాట్ను విభజించాడు.
I was very excited.	నేను చాలా ఉత్సాహంగా ఉన్నాను.
I knew this would be hard for you.	ఇది మీకు కష్టమని నాకు తెలుసు.
My grandfather has gray hair.	నా తాతకు బూడిద జుట్టు ఉంది.
Don't Tom and Mary work together?	టామ్ మరియు మేరీ కలిసి పనిచేయలేదా?
I have things on my mind.	నా మనస్సులో విషయాలు ఉన్నాయి.
Tom let me stay with Mary.	టామ్ నన్ను మేరీతో కలిసి ఉండనివ్వండి.
You recovered quickly.	మీరు త్వరగా కోలుకున్నారు.
Sunil is an ultimate comedian.	సునీల్ అంతిమ హాస్యనటుడు.
What are you planning on doing?	మీరు ఏమి చేయాలనుకుంటున్నారు?
How many English words do you know?	మీకు ఎన్ని ఆంగ్ల పదాలు తెలుసు?
Why didn't you tell me all this before?	ఇవన్నీ మీరు ఇంతకు ముందు ఎందుకు నాకు చెప్పలేదు?
That sounded weird.	అది విచిత్రంగా అనిపించింది.
Meeting Tom was quite an experience for me.	టామ్‌ను కలవడం నాకు చాలా అనుభవం.
Tom had absolutely no idea what to do.	టామ్కు ఏమి చేయాలో ఖచ్చితంగా తెలియదు.
Shreya Ghoshal is a very popular and talented Indian playback singer.	శ్రేయా ఘోషల్ చాలా ప్రజాదరణ పొందిన మరియు ప్రతిభావంతులైన భారతీయ నేపథ్య గాయని.
It's likely a mistake.	ఇది పొరపాటు.
I told Tom you'd wait.	నేను వేచి ఉండాలని టామ్ కి చెప్పాను.
Tom wants to end this.	టామ్ దీనిని అంతం చేయాలనుకుంటున్నాడు.
telugu grammer	తెలుగు వ్యాకరణం
Can I offer a suggestion?	నేను సలహా ఇవ్వవచ్చా?
Where do I sign up?	నేను ఎక్కడ సైన్ అప్ చేయాలి?
Do you do anything else?	మీరు మరేదైనా చేస్తున్నారా?
They're green.	అవి ఆకుపచ్చగా ఉన్నాయి.
It's a pity that I have no ear for music.	నాకు సంగీతానికి చెవి లేదు.
There isn't anywhere else to park.	పార్క్ చేయడానికి మరెక్కడా లేదు.
Tom visited Mary.	టామ్ మేరీని సందర్శించాడు.
Tom is stuck.	టామ్ ఇరుక్కుపోయాడు.
You're standing on my foot.	మీరు నా పాదాల మీద నిలబడి ఉన్నారు.
They took Tom to the hospital to have his stomach pumped because he ate something poisonous.	టామ్ విషపూరితమైన ఏదో తిన్నందున అతని కడుపు పంప్ చేయటానికి వారు ఆసుపత్రికి తీసుకువెళ్లారు.
You're an excellent writer.	మీరు అద్భుతమైన రచయిత.
We're not accusing you of anything.	మేము మీపై ఏమీ ఆరోపణలు చేయడం లేదు.
I woke up three times during the night.	నేను రాత్రి సమయంలో మూడుసార్లు మేల్కొన్నాను.
Why did you want to speak to me?	మీరు నాతో ఎందుకు మాట్లాడాలనుకున్నారు?
Tom locked his doors.	టామ్ తన తలుపులు లాక్ చేశాడు.
I think I feel better.	నేను బాగున్నాను.
What can it be?	అది ఏమిటి?
The girl I wanted to marry married somebody else.	నేను వివాహం చేసుకోవాలనుకున్న అమ్మాయి వేరొకరిని వివాహం చేసుకుంది.
There's not enough time to eat now.	ఇప్పుడు తినడానికి తగినంత సమయం లేదు.
It's not known how many of them survived.	వారిలో ఎంతమంది ప్రాణాలతో బయటపడ్డారో తెలియదు.
I see the dog.	నేను కుక్కను చూస్తాను.
He often gets sick.	అతను తరచుగా అనారోగ్యానికి గురవుతాడు.
Our train arrived on time.	మా రైలు సమయానికి వచ్చింది.
Tom doesn't have many books.	టామ్ వద్ద చాలా పుస్తకాలు లేవు.
Why didn't you tell us there was a witness?	సాక్షి ఉందని మీరు మాకు ఎందుకు చెప్పలేదు?
I am planning to visit Kyoto, and Nara as well.	నేను క్యోటో, మరియు నారాలను కూడా సందర్శించాలని ఆలోచిస్తున్నాను.
The burglar came into the house through this door.	దొంగ ఈ తలుపు ద్వారా ఇంట్లోకి వచ్చాడు.
Tom doesn't want to leave.	టామ్ వదిలి వెళ్ళడం ఇష్టం లేదు.
I do think people will use it.	ప్రజలు దీనిని ఉపయోగిస్తారని నేను అనుకుంటున్నాను.
His death was a great loss to our country.	ఆయన మరణం మన దేశానికి ఎంతో నష్టమే.
I don't think that everyone is here yet.	అందరూ ఇంకా ఇక్కడ ఉన్నారని నేను అనుకోను.
If you want quality, pay for it.	మీకు నాణ్యత కావాలంటే, దాని కోసం చెల్లించండి.
The water was ice cold.	నీరు మంచు చల్లగా ఉంది.
I don't care what will become of me.	నాలో ఏమి జరుగుతుందో నేను పట్టించుకోను.
Don't come dressed like bums.	బంస్ లాగా దుస్తులు ధరించవద్దు.
Don't take their word for it.	దాని కోసం వారి మాటను తీసుకోకండి.
Indian	భారతీయుడు
We go fishing together once in a while.	మేము ఒక్కసారి కలిసి చేపలు పట్టడానికి వెళ్తాము.
Tom doesn't like competition.	టామ్‌కు పోటీ నచ్చలేదు.
Tom didn't know what Mary needed to do.	మేరీ ఏమి చేయాలో టామ్కు తెలియదు.
Available	అందుబాటులో ఉంది
How about going out for lunch?	భోజనానికి బయటికి వెళ్లడం ఎలా?
His legs are long.	అతని కాళ్ళు పొడవుగా ఉన్నాయి.
We're going to be here all afternoon.	మేము మధ్యాహ్నం అంతా ఇక్కడే ఉండబోతున్నాం.
Tom knows the rules.	టామ్‌కు నియమాలు తెలుసు.
The two answers are both correct.	రెండు సమాధానాలు రెండూ సరైనవి.
Tom asked me to carry his suitcase.	టామ్ తన సూట్‌కేస్‌ను తీసుకెళ్లమని అడిగాడు.
I like honey.	నాకు తేనె అంటే ఇష్టం.
Tom is most likely eating now.	టామ్ ఇప్పుడు ఎక్కువగా తినడం.
I didn't eat anything else.	నేను వేరే ఏమీ తినలేదు.
We've been helping Tom.	మేము టామ్‌కు సహాయం చేస్తున్నాము.
Stop protecting me.	నన్ను రక్షించడం ఆపు.
Mary doesn't want to end up being an old maid.	మేరీ పాత పనిమనిషిగా ఉండటానికి ఇష్టపడదు.
What do you think this is?	ఇది ఏమిటి?
Asia is roughly four times the size of Europe.	ఆసియా యూరప్ కంటే నాలుగు రెట్లు ఎక్కువ.
Tom said he didn't know how to swim very well.	టామ్ తనకు బాగా ఈత కొట్టడం తెలియదని చెప్పాడు.
I know I deserve this.	నేను దీనికి అర్హుడని నాకు తెలుసు.
We have nothing in common.	మాకు ఉమ్మడిగా ఏమీ లేదు.
How much money do you think Tom makes?	టామ్ ఎంత డబ్బు సంపాదించాడని మీరు అనుకుంటున్నారు?
You shouldn't let him get away with cheating.	మీరు అతన్ని మోసంతో తప్పించుకోకూడదు.
I have cut my finger.	నేను నా వేలు కత్తిరించాను.
You live here alone, don't you?	మీరు ఇక్కడ ఒంటరిగా నివసిస్తున్నారు, లేదా?
Tom is a hot-blooded individual.	టామ్ హాట్ బ్లడెడ్ వ్యక్తి.
He got up at eight in the morning.	అతను ఉదయం ఎనిమిది గంటలకు లేచాడు.
It was impossible to find an answer.	సమాధానం కనుగొనడం అసాధ్యం.
I'll never forget going to Hawaii with her.	ఆమెతో హవాయికి వెళ్లడాన్ని నేను ఎప్పటికీ మర్చిపోలేను.
Let's leave as soon as he gets back.	అతను తిరిగి రాగానే బయలుదేరదాం.
We go to school together.	మేమిద్దరం కలిసి బడికి వెళ్తాం.
I like your work.	మీ పని నాకు చాలా ఇష్టం.
What are the languages do you know?	మీకు తెలిసిన భాషలు ఏమిటి?
Let's sit down on the bench.	బెంచ్ మీద కూర్చుందాం.
She gave him a clock.	ఆమె అతనికి ఒక గడియారం ఇచ్చింది.
Tom and I walk to school together every morning.	టామ్ మరియు నేను ప్రతి ఉదయం కలిసి పాఠశాలకు నడుస్తాము.
You should marry Tom.	మీరు టామ్‌ను వివాహం చేసుకోవాలి.
It's obsolete.	ఇది వాడుకలో లేదు.
Tom has a high fever.	టామ్‌కు అధిక జ్వరం ఉంది.
I'm afraid I'll be a burden to you.	నేను మీకు భారం అవుతాను అని భయపడుతున్నాను.
We weren't prepared for what happened.	ఏమి జరిగిందో మేము సిద్ధంగా లేము.
He is a man of his word.	అతను తన మాటలోని వ్యక్తి.
Take this chair. It's sturdy.	ఈ కుర్చీ తీసుకోండి.
i am very tired	నేను బాగా అలసిపోయాను
Tom is eating a cake.	టామ్ కేక్ తింటున్నాడు.
Tom said he wondered if Mary and I'd be able to do that by ourselves.	టామ్ మాట్లాడుతూ మేరీ మరియు నేను దానిని మనమే చేయగలమా అని ఆలోచిస్తున్నానని చెప్పాడు.
I know how it feels.	ఇది ఎలా అనిపిస్తుందో నాకు తెలుసు.
I remember saying that.	నేను చెప్పినట్లు గుర్తు.
Tom lived in Boston when he was a child.	టామ్ చిన్నతనంలో బోస్టన్‌లో నివసించాడు.
Tom loaded the truck with sand.	టామ్ ఇసుకతో ట్రక్కును ఎక్కించాడు.
How old are you, Tom?	టామ్, మీ వయస్సు ఎంత?
We've been looking for you everywhere.	మేము ప్రతిచోటా మీ కోసం వెతుకుతున్నాము.
No one encouraged her.	ఎవరూ ఆమెను ప్రోత్సహించలేదు.
It soon began to rain very hard.	త్వరలోనే చాలా కష్టపడి వర్షం పడటం ప్రారంభమైంది.
He advised me not to believe what she says.	ఆమె చెప్పేది నమ్మవద్దని ఆయన నాకు సలహా ఇచ్చారు.
Tom is the only person who can do that, I think.	టామ్ మాత్రమే అలా చేయగలడు, నేను అనుకుంటున్నాను.
Please do something about it.	దయచేసి దాని గురించి ఏదైనా చేయండి.
That was an experience.	అది ఒక అనుభవం.
The doctor took his pulse.	డాక్టర్ అతని పల్స్ తీసుకున్నాడు.
I want you to give a message to Tom.	మీరు టామ్‌కు సందేశం ఇవ్వాలనుకుంటున్నాను.
I knew you wouldn't want to go with us.	మీరు మాతో వెళ్లాలని అనుకోరని నాకు తెలుసు.
He left his parents when he was eight years old.	అతను ఎనిమిదేళ్ళ వయసులో తల్లిదండ్రులను విడిచిపెట్టాడు.
I don't think Tom killed Mary.	టామ్ మేరీని చంపాడని నేను అనుకోను.
Tom will unlikely win today.	టామ్ ఈ రోజు గెలవలేడు.
Will anybody be at the station to meet me?	నన్ను కలవడానికి ఎవరైనా స్టేషన్‌లో ఉంటారా?
I want to make some changes.	నేను కొన్ని మార్పులు చేయాలనుకుంటున్నాను.
Do you remember what time Tom said he'd be here?	టామ్ ఇక్కడే ఉంటానని చెప్పిన సమయం మీకు గుర్తుందా?
